号段	使用归属地
1815809	浙江舟山市
1815865	浙江绍兴市
1815866	浙江绍兴市
1815867	浙江绍兴市
1815868	浙江杭州市
1815869	浙江杭州市
1816203	山东济宁市
1816204	山东济宁市
1816205	山东济宁市
1816206	山东德州市
1816207	山东潍坊市
1816208	山东潍坊市
1816209	山东临沂市
1818707	云南临沧市
1818708	云南昭通市
1818709	云南临沧市
1818717	云南文山壮族苗族自治州
1818718	云南西双版纳傣族自治州
1818719	云南临沧市
1818728	云南大理白族自治州
1818737	云南红河哈尼族彝族自治州
1818738	云南红河哈尼族彝族自治州
1818739	云南楚雄彝族自治州
1818747	云南楚雄彝族自治州
1818748	云南大理白族自治州
1818749	云南西双版纳傣族自治州
1818757	云南保山市
1818758	云南保山市
1818759	云南文山壮族苗族自治州
1818767	云南文山壮族苗族自治州
1818768	云南文山壮族苗族自治州
1818769	云南文山壮族苗族自治州
1818787	云南楚雄彝族自治州
1818788	云南楚雄彝族自治州
1818789	云南楚雄彝族自治州
1818797	云南普洱市
1818798	云南普洱市
1818799	云南普洱市
1700000	北京北京
1700001	北京北京
1700002	北京北京
1700003	北京北京
1700004	北京北京
1700005	上海上海
1700006	上海上海
1700007	上海上海
1700008	上海上海
1700009	上海上海
1700010	北京北京
1700011	北京北京
1700012	北京北京
1700013	北京北京
1700014	广东广州市
1700015	广东广州市
1700016	广东广州市
1700017	广东广州市
1700018	广东深圳市
1700019	广东深圳市
1700020	广东广州市
1700021	广东广州市
1700022	广东广州市
1700130	安徽合肥市
1700131	山西太原市
1700132	湖北武汉市
1700133	广东深圳市
1700134	天津天津
1700135	天津天津
1700136	海南海口市
1700137	重庆重庆
1700138	四川成都市
1700139	四川成都市
1700194	广东广州市
1700199	广东深圳市
1700340	安徽合肥市
1700341	湖北武汉市
1700342	海南海口市
1700343	重庆重庆
1700344	广东深圳市
1700384	河南郑州市
1700385	河南郑州市
1700386	河南周口市
1700490	上海上海
1700491	上海上海
1700492	上海上海
1700493	北京北京
1700494	北京北京
1700495	北京北京
1700496	广东广州市
1700497	广东广州市
1700498	广东深圳市
1700499	广东深圳市
1700640	山东青岛市
1700641	浙江杭州市
1700642	浙江杭州市
1700643	山西太原市
1700644	四川成都市
1700660	山东青岛市
1700661	山东青岛市
1700662	山东济南市
1700663	山东烟台市
1700664	山东烟台市
1700665	山东济宁市
1700666	山东聊城市
1700667	山东临沂市
1700668	浙江杭州市
1700669	浙江杭州市
1705000	北京北京
1705005	北京北京
1705006	北京北京
1705007	上海上海
1705008	上海上海
1705009	广东广州市
1705010	广东广州市
1705011	广东深圳市
1705012	天津天津
1705013	湖北武汉市
1705014	浙江杭州市
1705015	辽宁沈阳市
1705016	辽宁大连市
1705017	山东青岛市
1705018	安徽合肥市
1705019	福建厦门市
1705020	广西南宁市
1705021	海南海口市
1705022	河北石家庄市
1705023	河南郑州市
1705024	山西太原市
1705025	黑龙江哈尔滨市
1705026	湖南长沙市
1705027	吉林长春市
1705028	江苏南京市
1705029	江西南昌市
1705030	陕西西安市
1705031	四川成都市
1705032	云南昆明市
1705033	重庆重庆
1705034	贵州贵阳市
1705150	上海上海
1705151	广东深圳市
1705152	安徽合肥市
1705153	广东东莞市
1705155	河南郑州市
1705156	湖南长沙市
1705157	河北石家庄市
1705158	广东广州市
1705159	湖北武汉市
1705160	江西南昌市
1705161	吉林长春市
1705162	江苏南京市
1705163	江西上饶市
1705165	山东青岛市
1705166	陕西西安市
1705167	山西太原市
1705168	黑龙江哈尔滨市
1705169	山东济南市
1705170	北京北京
1705171	四川成都市
1705172	天津天津
1705173	云南昆明市
1705175	辽宁沈阳市
1705176	辽宁大连市
1705177	浙江宁波市
1705178	浙江杭州市
1705179	广西桂林市
1705180	北京北京
1705181	海南海口市
1705182	上海上海
1705183	重庆重庆
1705184	河南郑州市
1705200	广东广州市
1705201	安徽合肥市
1705202	山东青岛市
1705203	福建福州市
1705204	江苏盐城市
1705205	广东佛山市
1705206	湖北武汉市
1705207	贵州贵阳市
1705208	北京北京
1705209	黑龙江哈尔滨市
1705210	上海上海
1705211	湖南长沙市
1705212	吉林长春市
1705213	江苏常州市
1705214	江苏淮安市
1705215	江西南昌市
1705216	江苏南通市
1705217	江苏徐州市
1705218	江苏无锡市
1705219	江苏苏州市
1705220	云南昆明市
1705221	江苏镇江市
1705222	江苏南京市
1705223	天津天津
1705224	内蒙古包头市
1705225	浙江杭州市
1705226	山东济南市
1705227	山东临沂市
1705228	广东深圳市
1705229	陕西西安市
1705230	辽宁大连市
1705231	四川成都市
1705232	重庆重庆
1705233	广东东莞市
1705234	内蒙古呼和浩特市
1705300	广东深圳市
1705301	北京北京
1705302	上海上海
1705303	北京北京
1705304	广东深圳市
1705305	北京北京
1705306	上海上海
1705307	上海上海
1705308	广东深圳市
1705309	海南海口市
1705310	四川成都市
1705311	广东深圳市
1705312	四川成都市
1705313	重庆重庆
1705314	广东深圳市
1705315	重庆重庆
1705316	湖北武汉市
1705317	湖北武汉市
1705318	广东深圳市
1705319	湖南长沙市
1705320	湖南长沙市
1705321	广东东莞市
1705322	广东深圳市
1705323	广东东莞市
1705324	广东深圳市
1705325	广东广州市
1705326	广东广州市
1705327	广东广州市
1705328	广东深圳市
1705329	广东广州市
1705330	广东广州市
1705331	广东深圳市
1705332	广东深圳市
1705333	广东深圳市
1705334	广东深圳市
1705350	湖南长沙市
1705351	山西太原市
1705352	福建厦门市
1705353	辽宁沈阳市
1705354	福建厦门市
1705355	天津天津
1705356	河北石家庄市
1705357	浙江温州市
1705358	广东深圳市
1705359	山东济南市
1705360	上海上海
1705361	江苏南京市
1705362	江苏南京市
1705363	江苏无锡市
1705364	云南昆明市
1705365	山东青岛市
1705366	广东广州市
1705367	浙江杭州市
1705368	广东深圳市
1705369	四川成都市
1705370	陕西西安市
1705371	河南郑州市
1705372	海南海口市
1705373	安徽合肥市
1705374	江西南昌市
1705375	广西南宁市
1705376	黑龙江哈尔滨市
1705377	北京北京
1705378	广东东莞市
1705379	吉林长春市
1705380	辽宁大连市
1705381	湖北武汉市
1705382	重庆重庆
1705383	广东广州市
1705384	内蒙古呼和浩特市
1705500	广东深圳市
1705501	广东汕头市
1705502	云南昆明市
1705503	海南海口市
1705504	广东佛山市
1705505	福建福州市
1705506	河南郑州市
1705507	河南洛阳市
1705508	江苏苏州市
1705509	福建厦门市
1705510	北京北京
1705511	浙江宁波市
1705512	浙江温州市
1705513	广东东莞市
1705514	浙江台州市
1705515	江苏无锡市
1705516	上海上海
1705517	浙江杭州市
1705518	北京北京
1705519	安徽合肥市
1705520	广东广州市
1705521	上海上海
1705522	天津天津
1705523	重庆重庆
1705524	辽宁沈阳市
1705525	江苏南京市
1705526	湖南长沙市
1705527	湖北武汉市
1705528	四川成都市
1705529	陕西西安市
1705530	河南南阳市
1705532	山东青岛市
1705533	江西南昌市
1705534	广东中山市
1705550	上海上海
1705551	安徽合肥市
1705552	山东青岛市
1705553	安徽合肥市
1705554	四川成都市
1705555	河南郑州市
1705556	辽宁沈阳市
1705557	湖南长沙市
1705558	四川成都市
1705559	北京北京
1705560	吉林长春市
1705561	陕西西安市
1705562	天津天津
1705563	福建福州市
1705564	辽宁沈阳市
1705565	辽宁大连市
1705566	山东济南市
1705567	云南昆明市
1705568	云南昆明市
1705569	云南昆明市
1705570	广西南宁市
1705571	浙江杭州市
1705572	重庆重庆
1705573	河南郑州市
1705574	河南郑州市
1705575	黑龙江哈尔滨市
1705576	黑龙江大庆市
1705577	浙江温州市
1705578	浙江宁波市
1705579	河南南阳市
1705580	河北石家庄市
1705581	贵州贵阳市
1705582	山西太原市
1705583	广东广州市
1705584	山东济南市
1705600	北京北京
1705601	上海上海
1705602	广东广州市
1705603	广东广州市
1705604	广东深圳市
1705605	广东深圳市
1705606	广东东莞市
1705607	广东东莞市
1705608	天津天津
1705609	重庆重庆
1705610	江苏南京市
1705611	浙江杭州市
1705612	浙江宁波市
1705613	四川成都市
1705614	四川成都市
1705615	山东济南市
1705616	山东青岛市
1705617	辽宁沈阳市
1705618	辽宁大连市
1705619	福建福州市
1705620	福建厦门市
1705621	湖北武汉市
1705622	黑龙江哈尔滨市
1705623	陕西西安市
1705624	湖南长沙市
1705625	吉林长春市
1705626	河南郑州市
1705627	河北石家庄市
1705628	山西太原市
1705629	安徽合肥市
1705630	江西南昌市
1705631	广西南宁市
1705632	云南昆明市
1705633	贵州贵阳市
1705634	内蒙古呼和浩特市
1705650	上海上海
1705651	上海上海
1705652	上海上海
1705653	广东广州市
1705654	广东广州市
1705655	广东深圳市
1705656	广东深圳市
1705657	湖北武汉市
1705658	湖北武汉市
1705659	湖北十堰市
1705660	湖北十堰市
1705661	江苏南京市
1705662	湖南长沙市
1705663	湖北恩施土家族苗族自治州
1705664	四川成都市
1705666	北京北京
1705667	天津天津
1705668	北京北京
1705669	北京北京
1705670	辽宁沈阳市
1705671	辽宁大连市
1705672	山东济南市
1705673	山东青岛市
1705674	山东烟台市
1705675	山西太原市
1705676	陕西西安市
1705677	云南昆明市
1705678	浙江杭州市
1705679	重庆重庆
1705680	湖北孝感市
1705681	湖北黄冈市
1705682	湖北咸宁市
1705683	福建福州市
1705684	福建厦门市
1705700	广东深圳市
1705701	广东深圳市
1705702	广东深圳市
1705706	上海上海
1705707	湖南衡阳市
1705708	北京北京
1705709	广东广州市
1705716	天津天津
1705717	河南洛阳市
1705718	宁夏银川市
1705719	河北秦皇岛市
1705770	福建福州市
1705800	北京北京
1705801	北京北京
1705802	北京北京
1705803	上海上海
1705804	上海上海
1705805	上海上海
1705806	天津天津
1705807	重庆重庆
1705808	上海上海
1705809	河北石家庄市
1705810	山东济南市
1705811	广东广州市
1705812	陕西西安市
1705813	广东深圳市
1705814	广东深圳市
1705815	广东深圳市
1705816	广东佛山市
1705817	广东东莞市
1705818	广东深圳市
1705819	江苏南京市
1705820	江苏苏州市
1705821	四川成都市
1705822	福建厦门市
1705824	北京北京
1705828	浙江杭州市
1705850	北京北京
1705851	北京北京
1705852	北京北京
1705860	广东广州市
1705861	广东广州市
1705867	广东深圳市
1705870	上海上海
1705871	上海上海
1705872	上海上海
1705880	广东东莞市
1705882	广东佛山市
1705883	广东中山市
1707000	北京北京
1707001	北京北京
1707002	北京北京
1707003	北京北京
1707004	北京北京
1707005	北京北京
1707006	北京北京
1707007	北京北京
1707008	北京北京
1707009	北京北京
1707010	北京北京
1707011	北京北京
1707012	北京北京
1707013	北京北京
1707014	北京北京
1707015	北京北京
1707016	北京北京
1707017	北京北京
